quarter cycle,t,V_drive,i,i_m,v_C
0,1.2900000000000032E-05,36,60.56109311161137,0.9801355411580165,40.61340768443236
0,1.3000000000000033E-05,36,60.91473704756004,0.998427480833608,41.1975347194368
0,1.3100000000000034E-05,36,61.26647097324414,1.0169222039294203,41.78494951911059
0,1.3200000000000035E-05,36,61.61629340541051,1.0356203893141325,42.37563136979015
0,1.3300000000000035E-05,36,61.964202903503846,1.0545227097904537,42.969559536614625
0,1.3400000000000036E-05,36,62.31019806960106,1.0736298320948106,43.56671326400397
0,1.3500000000000037E-05,36,62.6542775483448,1.0929424168971593,44.16707177613639
0,1.3600000000000038E-05,36,62.99644002687635,1.112461118800925,44.77061427742509
0,1.3700000000000038E-05,36,63.336684234767695,1.132186586343067,45.377319952994455
0,1.3800000000000039E-05,36,63.675008943952925,1.1521194619942694,45.98716796915548
0,1.390000000000004E-05,36,64.01141296865886,1.1722603821592585,46.600137473880565
0,1.400000000000004E-05,36,64.34589516533502,1.1926099771772445,47.21620759727762
0,1.4100000000000041E-05,36,64.6784544325828,1.2131688713224877,47.83535745206348
0,1.4200000000000042E-05,36,65.00908971108396,1.233937682804991,48.45756613403662
0,1.4300000000000043E-05,36,65.33779998352843,1.2549170237713152,49.08281272254916
0,1.4400000000000043E-05,36,65.66458427454137,1.276107500305519,49.71107628097815
0,1.4500000000000044E-05,36,65.98944165060954,1.297509712430223,50.34233585719615
0,1.4600000000000045E-05,36,66.31237122000692,1.3191242541077977,50.97657048404104
0,1.4700000000000046E-05,36,66.63337213271971,1.340951713241672,51.61375917978515
0,1.4800000000000046E-05,36,66.95244358037057,1.3629926716777687,52.25388094860356
0,1.4900000000000047E-05,36,67.26958479614214,1.3852477052060592,52.89691478104172
0,1.5000000000000048E-05,36,67.5847950547,1.4077173835622419,53.54283965448227
0,1.5100000000000049E-05,36,67.89807367211478,1.4304022704295427,54.19163453361107
0,1.520000000000005E-05,36,68.20942000578367,1.4533029234406365,54.843278370882494
0,1.530000000000005E-05,36,68.51883345435125,1.4764198941796907,55.497750106983894
0,1.540000000000005E-05,36,68.82631345762962,1.4997537281845288,56.1550286712993
0,1.5500000000000048E-05,36,69.13185949651786,1.5233049649489159,56.81509298237229
0,1.5600000000000047E-05,36,69.43547109292078,1.5470741379249637,57.47792194836806
1,1.5700000000000046E-05,0,69.16571923823852,1.5710617745256563,58.14349446753469
1,1.5800000000000045E-05,0,68.895378528491,1.5952023301110274,58.806187187767165
1,1.5900000000000044E-05,0,68.6244558465206,1.6194949103288916,59.46599283677089
1,1.6000000000000043E-05,0,68.35295807184485,1.6439386196843093,60.122904218498256
1,1.6100000000000042E-05,0,68.08089208052088,1.6685325615607427,60.776914213127284
1,1.620000000000004E-05,0,67.80826474501043,1.6932758382411877,61.42801577703866
1,1.630000000000004E-05,0,67.53508293404515,1.7181675509292824,62.0762019427913
1,1.640000000000004E-05,0,67.26135351249232,1.7432067997703897,62.72146581909636
1,1.650000000000004E-05,0,66.98708334122092,1.768392683872655,63.36380059078971
1,1.6600000000000038E-05,0,66.7122792769681,1.7937243013280375,64.00319951880293
1,1.6700000000000037E-05,0,66.43694817220606,1.8192007492333175,64.63965594013274
1,1.6800000000000036E-05,0,66.16109687500922,1.844821123711075,65.27316326780894
1,1.6900000000000035E-05,0,65.88473222892192,1.8705845199306428,65.90371499086088
1,1.7000000000000034E-05,0,65.60786107282641,1.8964900321290319,66.53130467428235
1,1.7100000000000033E-05,0,65.33049024081124,1.9225367536318303,67.15592595899507
1,1.7200000000000032E-05,0,65.05262656204012,1.9487237768740724,67.77757256181056
1,1.730000000000003E-05,0,64.77427686062106,1.9750501934210816,68.39623827539062
1,1.740000000000003E-05,0,64.495447955476,2.001515093989283,69.01191696820631
1,1.750000000000003E-05,0,64.21614666021082,2.0281175684669885,69.62460258449539
1,1.7600000000000028E-05,0,63.936379782985725,2.054856705935151,70.23428914421837
1,1.7700000000000027E-05,0,63.65615412638604,2.08173159468809,70.84097074301297
1,1.7800000000000026E-05,0,63.375476487293454,2.1087413222541866,71.44464155214727
1,1.7900000000000025E-05,0,63.0943536567576,2.1358849754165483,72.04529581847119
1,1.8000000000000024E-05,0,62.8127924198681,2.1631616402336427,72.64292786436668
1,1.8100000000000023E-05,0,62.53079955562701,2.1905704020599,73.23753208769644
1,1.8200000000000022E-05,0,62.24838183682165,2.2181103455662847,73.82910296175102
1,1.830000000000002E-05,0,61.96554602989787,2.2457805547608336,74.41763503519469
1,1.840000000000002E-05,0,61.68229889483374,2.2735801130091637,75.00312293200976
1,1.850000000000002E-05,0,61.398647185013644,2.3015081030549465,75.58556135143941
1,1.860000000000002E-05,0,61.11459764710277,2.329563607040349,76.1649450679292
1,1.8700000000000017E-05,0,60.83015702092209,2.3577457065264418,76.74126893106707
1,1.8800000000000017E-05,0,60.54533203932367,2.386053482513574,77.31452786552192
1,1.8900000000000016E-05,0,60.260129428066485,2.414486015461713,77.88471687098085
1,1.9000000000000015E-05,0,59.97455590569262,2.4430423853107506,78.45183102208482
1,1.9100000000000014E-05,0,59.6886181834039,2.471721671500775,79.01586546836307
1,1.9200000000000013E-05,0,59.402322964938946,2.500522952992306,79.57681543416605
1,1.9300000000000012E-05,0,59.11567694645069,2.529445308286497,80.1346762185969
1,1.940000000000001E-05,0,58.828686816384284,2.5584878154453,80.68944319544164
1,1.950000000000001E-05,0,58.54135925535547,2.5876495521115936,81.2411118130979
1,1.960000000000001E-05,0,58.253700936029354,2.6169295955292773,81.78967759450225
1,1.9700000000000008E-05,0,57.96571852299968,2.6463270225633266,82.33513613705617
1,1.9800000000000007E-05,0,57.67741867266845,2.6758409097198124,82.87748311255064
1,1.9900000000000006E-05,0,57.38880803312607,2.705470333165882,83.41671426708935
1,2.0000000000000005E-05,0,57.09989324403188,2.7352143687497033,83.95282542101053
1,2.0100000000000004E-05,0,56.810680936495174,2.76507209202037,84.48581246880741
1,2.0200000000000003E-05,0,56.5211777329566,2.79504257824777,85.01567137904736
1,2.0300000000000002E-05,0,56.231390247070074,2.8251249024424134,85.5423981942896
1,2.04E-05,0,55.9413250835851,2.855318139375221,86.06598903100164
1,2.05E-05,0,55.650988838229544,2.885621363597277,86.58644007947429
1,2.06E-05,0,55.360388097592875,2.916033649459538,87.10374760373539
