t,i,i_m,v_C
1.3500000000000037E-05,62.6542775483448,1.0929424168971593,44.16707177613639
1.3600000000000038E-05,62.99644002687635,1.112461118800925,44.77061427742509
1.3700000000000038E-05,63.336684234767695,1.132186586343067,45.377319952994455
1.3800000000000039E-05,63.675008943952925,1.1521194619942694,45.98716796915548
1.390000000000004E-05,64.01141296865886,1.1722603821592585,46.600137473880565
1.400000000000004E-05,64.34589516533502,1.1926099771772445,47.21620759727762
1.4100000000000041E-05,64.6784544325828,1.2131688713224877,47.83535745206348
1.4200000000000042E-05,65.00908971108396,1.233937682804991,48.45756613403662
1.4300000000000043E-05,65.33779998352843,1.2549170237713152,49.08281272254916
1.4400000000000043E-05,65.66458427454137,1.276107500305519,49.71107628097815
1.4500000000000044E-05,65.98944165060954,1.297509712430223,50.34233585719615
1.4600000000000045E-05,66.31237122000692,1.3191242541077977,50.97657048404104
1.4700000000000046E-05,66.63337213271971,1.340951713241672,51.61375917978515
1.4800000000000046E-05,66.95244358037057,1.3629926716777687,52.25388094860356
1.4900000000000047E-05,67.26958479614214,1.3852477052060592,52.89691478104172
1.5000000000000048E-05,67.5847950547,1.4077173835622419,53.54283965448227
1.5100000000000049E-05,67.89807367211478,1.4304022704295427,54.19163453361107
1.520000000000005E-05,68.20942000578367,1.4533029234406365,54.843278370882494
1.530000000000005E-05,68.51883345435125,1.4764198941796907,55.497750106983894
1.540000000000005E-05,68.82631345762962,1.4997537281845288,56.1550286712993
1.5500000000000048E-05,69.13185949651786,1.5233049649489159,56.81509298237229
1.5600000000000047E-05,69.43547109292078,1.5470741379249637,57.47792194836806
