cycle,t,i,i_m,v_C
1,2.63E-05,38.56793613,4.799737971,111.3079418
1,2.64E-05,38.27289366,4.834895206,111.6390026
1,2.65E-05,37.9779552,4.870107221,111.9668261
1,2.66E-05,37.68312657,4.905373111,112.2914128
1,2.67E-05,37.3884136,4.940691976,112.6127634
1,2.68E-05,37.09382211,4.976062912,112.9308783
1,2.69E-05,36.7993579,5.01148502,113.2457583
1,2.70E-05,36.50502674,5.0469574,113.5574041
1,2.71E-05,36.2108344,5.082479154,113.8658165
1,2.72E-05,35.91678662,5.118049384,114.1709965
1,2.73E-05,35.62288915,5.153667194,114.4729449
1,2.74E-05,35.32914769,5.189331688,114.7716627
1,2.75E-05,35.03556795,5.225041972,115.0671511
1,2.76E-05,34.74215561,5.260797152,115.3594112
1,2.77E-05,34.44891635,5.296596336,115.6484441
1,2.78E-05,34.1558558,5.332438633,115.9342512
1,2.79E-05,33.86297962,5.368323153,116.2168337
1,2.80E-05,33.57029342,5.404249006,116.4961931
1,2.81E-05,33.27780281,5.440215306,116.7723308
1,2.82E-05,32.98551336,5.476221165,117.0452483
1,2.83E-05,32.69343065,5.512265698,117.3149472
1,2.84E-05,32.40156024,5.54834802,117.5814292
1,2.85E-05,32.10990765,5.584467249,117.844696
1,2.86E-05,31.81847841,5.620622503,118.1047494
1,2.87E-05,31.52727802,5.656812901,118.3615911
1,2.88E-05,31.23631197,5.693037563,118.6152231
1,2.89E-05,30.94558572,5.729295612,118.8656474
1,2.90E-05,30.65510472,5.765586171,119.1128659
1,2.91E-05,30.36487441,5.801908365,119.3568808
1,2.92E-05,30.07490021,5.838261318,119.5976942
1,2.93E-05,29.7851875,5.874644158,119.8353083
1,2.94E-05,29.49574169,5.911056015,120.0697254
1,2.95E-05,29.20656812,5.947496017,120.3009478
1,2.96E-05,28.91767214,5.983963295,120.5289779
1,2.97E-05,28.62905908,6.020456983,120.7538182
1,2.98E-05,28.34073426,6.056976215,120.9754711
1,2.99E-05,28.05270296,6.093520125,121.1939394
1,3.00E-05,27.76497046,6.130087851,121.4092255
1,3.01E-05,27.47754202,6.166678531,121.6213322
1,3.02E-05,27.19042287,6.203291304,121.8302622
1,3.03E-05,26.90361824,6.239925313,122.0360184
1,3.04E-05,26.61713332,6.2765797,122.2386036
1,3.05E-05,26.3309733,6.313253608,122.4380208
1,3.06E-05,26.04514335,6.349946185,122.634273
1,3.07E-05,25.75964861,6.386656577,122.8273631
1,3.08E-05,25.47449422,6.423383932,123.0172944
1,3.09E-05,25.18968527,6.460127403,123.20407
1,3.10E-05,24.90522687,6.496886139,123.3876931
1,3.11E-05,24.62112409,6.533659296,123.5681671
1,3.12E-05,24.33738198,6.570446028,123.7454951
2,3.13E-05,23.482577,6.607245493,123.9196808
