cycle,t,V_drive,i,i_m,v_C
64,0.001004399999999774,36,-4.6727347917406625,0.22826680995779416,-62.18573975905612
64,0.001004499999999774,36,-3.973994131021544,0.2102396306114209,-62.23378879436689
64,0.001004599999999774,36,-3.2768240029357605,0.19228182952239417,-62.27481069399074
64,0.0010046999999997741,36,-2.581233776158425,0.1743951901747127,-62.30882153548543
64,0.0010047999999997742,36,-1.887232765895002,0.15658149024874654,-62.3358375057436
64,0.0010048999999997742,36,-1.1948302338075818,0.138842501597391,-62.35587490041167
64,0.0010049999999997743,36,-0.5040353879424362,0.12117999022239478,-62.3689501233078
64,0.0010050999999997744,36,0.18514261734115312,0.10359571625086286,-62.37507968583883
64,0.0010051999999997744,36,0.8726946814407903,0.08609143391193383,-62.37428020641637
64,0.0010052999999997745,36,1.5586117575795893,0.06866889151363212,-62.366568409871974
64,0.0010053999999997745,36,2.2428848528735243,0.051329831419894986,-62.35196112687133
64,0.0010054999999997746,36,2.9255050283975113,0.034075990027774394,-62.330475293327666
64,0.0010055999999997746,36,3.60646339925022,0.01690909774481394,-62.302127949814235
64,0.0010056999999997747,36,4.285751134617621,-0.00016912103339920825,-62.266936240975944
64,0.0010057999999997748,36,4.9633594578352636,-0.01715694794550719,-62.22491741494015
64,0.0010058999999997748,36,5.639279646449291,-0.03405267068647914,-62.17608882272661
64,0.0010059999999997749,36,6.313503032276193,-0.050854583029533565,-62.120467917656654
64,0.001006099999999775,36,6.986021001461301,-0.06756098484788543,-62.0580722547615
64,0.001006199999999775,36,7.656824994536016,-0.08417018213631779,-61.988919490189836
64,0.001006299999999775,36,8.325906506473784,-0.10068048703257797,-61.913027380614615
64,0.001006399999999775,36,8.993257086744817,-0.1170902178385983,-61.83041378263906
64,0.0010064999999997752,36,9.658868339369556,-0.1333976990415412,-61.74109665220197
64,0.0010065999999997752,36,10.322731922970881,-0.14960126133466878,-61.645094043982255
64,0.0010066999999997753,36,10.984839550825072,-0.16569924163803665,-61.54242411080279
64,0.0010067999999997753,36,11.64518299091152,-0.18168998311901222,-61.43310510303355
64,0.0010068999999997754,36,12.303754065961192,-0.19757183521261712,-61.31715536799403
64,0.0010069999999997754,36,12.960544653503845,-0.21334315364169412,-61.194593349355074
64,0.0010070999999997755,36,13.615546685914005,-0.229002300436898,-61.06543758653992
64,0.0010071999999997755,36,14.268752150455693,-0.2445476439565109,-60.92970671412472
64,0.0010072999999997756,36,14.920153089325925,-0.25997755890608165,-60.78741946123832
64,0.0010073999999997757,36,15.569741599696954,-0.2752904263578894,-60.63859465096154
64,0.0010074999999997757,36,16.217509833757298,-0.2904846337702316,-60.48325119972571
64,0.0010075999999997758,36,16.863449998751513,-0.3055585750065356,-60.32140811671073
64,0.0010076999999997758,36,17.50755435701875,-0.32051065035429516,-60.15308450324251
64,0.0010077999999997759,36,18.149815226030075,-0.3353392665438305,-59.97829955218983
64,0.001007899999999776,36,18.790224978424547,-0.35004283676687287,-59.79707254736068
64,0.001007999999999776,36,19.428776042044095,-0.3646197806949731,-59.609422862898015
64,0.001008099999999776,36,20.065460899967153,-0.37906852449773454,-59.41536996267508
64,0.0010081999999997761,36,20.700272090541073,-0.39338750086087004,-59.21493339969013
64,0.0010082999999997762,36,21.333202207413333,-0.4075751490040833,-59.0081328154607
64,0.0010083999999997762,36,21.964243899561495,-0.42162991469877426,-58.79498793941739
64,0.0010084999999997763,36,22.593389871321985,-0.4355502502855689,-58.57551858829719
64,0.0010085999999997763,36,23.22063288241763,-0.44933461469167335,-58.349744665536335
64,0.0010086999999997764,36,23.845965747983996,-0.46298147344805246,-58.117686160662714
64,0.0010087999999997765,36,24.469381338594516,-0.47648929870643236,-57.879363148687894
64,0.0010088999999997765,36,25.090872580284405,-0.48985656925612786,-57.63479578949867
64,0.0010089999999997766,36,25.71043245457337,-0.5030817705406939,-57.38400432724827
64,0.0010090999999997766,36,26.32805399848712,-0.516163394674402,-57.127009089747155
64,0.0010091999999997767,36,26.943730304577684,-0.5290999404585407,-56.86383048785341
64,0.0010092999999997767,36,27.5574545209425,-0.5418899133975412,-56.59448901486286
64,0.0010093999999997768,36,28.16921985124235,-0.5545318257149271,-56.319005245898744
64,0.0010094999999997769,36,28.779019554718058,-0.5670241963690893,-56.03739983730112
64,0.001009599999999777,36,29.386846946206038,-0.5793655510688854,-55.74969352601595
64,0.001009699999999777,36,29.992695396152616,-0.5915544222890644,-55.455907128983846
64,0.001009799999999777,36,30.596558330627182,-0.6035893492855156,-55.15606154252853
64,0.001009899999999777,36,31.198429231334167,-0.6154688781103431,-54.85017774174508
64,0.0010099999999997771,36,31.79830163562381,-0.6271915616267656,-54.53827677988778
64,0.0010100999999997772,36,32.396169136501776,-0.6387559595238403,-54.22037978775787
64,0.0010101999999997772,36,32.99202538263758,-0.6501606383310136,-53.896507973090955
64,0.0010102999999997773,36,33.58586407837182,-0.6614041714324954,-53.5666826199442
64,0.0010103999999997774,36,34.17767898372228,-0.6724851390814606,-53.230925088083374
64,0.0010104999999997774,36,34.76746391438884,-0.6834021284140748,-52.88925681236961
64,0.0010105999999997775,36,35.355212741757185,-0.6941537334633462,-52.54169930214605
64,0.0010106999999997775,36,35.94091939290142,-0.7047385551728034,-52.18827414062428
64,0.0010107999999997776,36,36.52457785058546,-0.7151552014099984,-51.82900298427061
64,0.0010108999999997776,36,37.10618215326329,-0.7254022869798366,-51.46390756219222
64,0.0010109999999997777,36,37.68572639507808,-0.7354784336377312,-51.09300967552317
64,0.0010110999999997778,36,38.263204725860085,-0.7453822701025863,-50.71633119681027
64,0.0010111999999997778,36,38.83861135112348,-0.7551124320696034,-50.33389406939887
64,0.0010112999999997779,36,39.41194053206199,-0.7646675622229168,-49.94572030681855
64,0.001011399999999778,36,39.98318658554336,-0.7740463102480536,-49.5518319921687
64,0.001011499999999778,36,40.552343884102726,-0.7832473328442222,-49.15225127750408
64,0.001011599999999778,36,41.11940685593484,-0.7922692937364263,-48.74700038322028
64,0.001011699999999778,36,41.68436998488511,-0.801110863687406,-48.33610159743919
64,0.0010117999999997782,36,42.247227810439554,-0.809770720509407,-47.91957727539436
64,0.0010118999999997782,36,42.807974927713595,-0.8182475490757755,-47.49744983881643
64,0.0010119999999997783,36,43.36660598743973,-0.8265400413323817,-47.06974177531849
64,0.0010120999999997783,36,43.923115695954095,-0.8346468963088706,-46.63647563778151
64,0.0010121999999997784,36,44.47749881518185,-0.8425668201297399,-46.19767404373972
64,0.0010122999999997784,36,45.02975016262152,-0.8502985260252465,-45.753359674766074
64,0.0010123999999997785,36,45.57986461132813,-0.8578407343421403,-45.303555275857775
64,0.0010124999999997786,36,46.127837089895294,-0.8651921725542269,-44.84828365482179
64,0.0010125999999997786,36,46.673662582436165,-0.872351575272758,-44.38756768166052
64,0.0010126999999997787,36,47.21733612856327,-0.8793176842566506,-43.92143028795749
64,0.0010127999999997787,36,47.75885282336722,-0.8860892484225347,-43.44989446626318
64,0.0010128999999997788,36,48.298207817394385,-0.8926650238546303,-42.97298326948093
64,0.0010129999999997788,36,48.835396316623374,-0.8990437738144528,-42.490719810253
64,0.0010130999999997789,36,49.37041358244048,-0.9052242687503479,-42.003127260346744
64,0.001013199999999779,36,49.903254931614015,-0.9112052863068559,-41.51022885004095
